0.00-0.04: <s>
0.05-0.15: why
0.16-0.21: are(2)
0.22-0.48: people
0.49-1.03: so
1.04-1.48: obsessed
1.49-1.58: with(2)
1.59-1.96: passive
1.97-2.37: income
2.38-2.40: <sil>
2.41-2.45: i
2.46-2.67: mean
2.68-2.72: <sil>
2.73-2.95: why
2.96-3.12: did
3.13-3.36: you
3.37-3.83: quickens
3.84-4.01: the(2)
4.02-4.49: littlest
4.50-4.67: this
4.68-5.04: passive
5.05-5.29: income
5.30-5.85: sports
5.86-5.96: the(2)
5.97-6.48: desire
6.49-6.56: of
6.57-6.86: us
6.87-7.10: <sil>
7.11-7.47: desire
7.48-7.58: for(2)
7.59-7.98: freedom
7.99-8.15: <sil>
8.16-8.48: passive
8.49-8.84: income
8.85-9.06: gives
9.07-9.17: us
9.18-9.25: the
9.26-9.60: freedom
9.61-9.70: to(3)
9.71-9.96: wake
9.97-10.12: up
10.13-10.50: whenever
10.51-10.60: we
10.61-10.92: want(2)
10.93-11.24: <sil>
11.25-11.64: trouble
11.65-11.92: where
11.93-12.14: we
12.15-12.57: want(2)
12.58-13.08: been
13.09-13.36: built
13.37-13.61: with
13.62-13.91: what
13.92-13.99: were
14.00-14.17: we
14.18-14.35: can(2)
14.36-14.78: basically
14.79-15.34: bart
15.35-15.88: whenever(2)
15.89-15.91: i
15.92-16.44: want(2)
16.45-16.67: us
16.68-16.70: <sil>
16.71-16.78: to(2)
16.79-17.07: drop
17.08-17.14: the
17.15-17.33: rest
17.34-17.46: of
17.47-17.71: you
17.72-17.92: <sil>
17.93-18.30: mentioned
18.31-18.91: judith
18.92-19.16: more
19.17-19.58: best
19.59-19.88: path
19.89-19.94: of
19.95-20.05: the(2)
20.06-20.42: company
20.43-20.63: is
20.64-20.94: <sil>
20.95-21.21: twenty(2)
21.22-21.47: twenty(2)
21.48-21.71: two
21.72-21.91: <sil>
21.92-22.23: along
22.24-22.48: quick
22.49-22.77: look
22.78-22.95: at
22.96-23.20: it
23.21-23.35: and
23.36-23.50: it's
23.51-23.88: because(2)
23.89-23.97: of
23.98-24.07: the
24.08-24.15: <sil>
24.16-24.54: orphan
24.55-24.90: last(2)
24.91-25.24: friday
25.25-25.48: and
25.49-25.66: show
25.67-25.87: you
25.88-26.07: <sil>
26.08-26.39: <sil>
26.40-26.63: too
26.64-27.08: passive
27.09-27.44: income
27.45-27.55: <sil>
27.56-27.95: doesn't
27.96-28.15: really
28.16-28.62: exist
28.63-28.87: the(2)
28.88-29.23: religious
29.24-29.50: put
29.51-29.56: the
29.57-29.96: figure
29.97-30.11: is
30.12-30.20: the
30.21-30.45: money
30.46-30.55: you
30.56-30.97: prefer(2)
30.98-31.13: know
31.14-31.40: where
31.41-31.56: <sil>
31.57-32.24: fascinating
32.25-32.48: come
32.49-32.75: does
32.76-33.25: exist
33.26-34.17: bullet
34.18-34.27: [SPEECH]
34.28-34.38: in
34.39-34.57: his
34.58-34.70: team
34.71-34.81: to(3)
34.82-35.28: refund(2)
35.29-35.35: the
35.36-35.56: weak
35.57-35.76: think
35.77-36.00: about
36.01-36.11: it
36.12-36.26: <sil>
36.27-36.39: says(2)
36.40-36.55: he's
36.56-36.74: gonna
36.75-36.93: like
36.94-37.36: farming
37.37-37.58: <sil>
37.59-37.81: for(3)
37.82-38.00: us
38.01-38.25: <sil>
38.26-38.34: to(3)
38.35-38.67: plant
38.68-38.74: the
38.75-39.23: seeds
39.24-39.34: <sil>
